mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
3,357,5,roc_auc,hand_till,0.7213697060068092,5,0.012298587953305056,Preprocessor1_Model299
6,428,2,roc_auc,hand_till,0.7213176908097048,5,0.011291985000364832,Preprocessor1_Model118
6,214,7,roc_auc,hand_till,0.7212746414520224,5,0.007417496942709837,Preprocessor1_Model414
5,214,2,roc_auc,hand_till,0.7211821661344975,5,0.010576999449178899,Preprocessor1_Model093
8,286,3,roc_auc,hand_till,0.7211042554759319,5,0.009811830417981891,Preprocessor1_Model168
3,143,4,roc_auc,hand_till,0.7210710219747918,5,0.012591316823609694,Preprocessor1_Model211
8,286,7,roc_auc,hand_till,0.7210522775064442,5,0.00963468547687989,Preprocessor1_Model424
7,500,3,roc_auc,hand_till,0.7210371479123463,5,0.010717590410207155,Preprocessor1_Model191
6,72,4,roc_auc,hand_till,0.7209985982712173,5,0.01734756955353929,Preprocessor1_Model206
8,428,8,roc_auc,hand_till,0.7209899280723686,5,0.012382114532754293,Preprocessor1_Model504
5,500,8,roc_auc,hand_till,0.7209679894179893,5,0.010043408471408541,Preprocessor1_Model509
8,357,6,roc_auc,hand_till,0.7209530468906461,5,0.009310712896744096,Preprocessor1_Model368
3,357,8,roc_auc,hand_till,0.7209203705722556,5,0.009892692624170018,Preprocessor1_Model491
7,286,7,roc_auc,hand_till,0.7209032732442455,5,0.010328458979729796,Preprocessor1_Model423
8,500,4,roc_auc,hand_till,0.7208996149848829,5,0.010871681546571185,Preprocessor1_Model256
7,286,8,roc_auc,hand_till,0.7208850621563915,5,0.009873017469737358,Preprocessor1_Model487
3,214,4,roc_auc,hand_till,0.720851460073583,5,0.012934378280549792,Preprocessor1_Model219
4,428,4,roc_auc,hand_till,0.7208391226314838,5,0.009880412580496033,Preprocessor1_Model244
7,143,7,roc_auc,hand_till,0.7208364681651388,5,0.011847568006273422,Preprocessor1_Model407
7,428,7,roc_auc,hand_till,0.7208235282978338,5,0.011593728709580598,Preprocessor1_Model439
7,143,8,roc_auc,hand_till,0.7208234666824944,5,0.008758599306477235,Preprocessor1_Model471
3,428,4,roc_auc,hand_till,0.720818250939977,5,0.012855247106433187,Preprocessor1_Model243
7,500,6,roc_auc,hand_till,0.7207823207583128,5,0.009247243084383105,Preprocessor1_Model383
7,214,2,roc_auc,hand_till,0.7207757908849675,5,0.011729835509456105,Preprocessor1_Model095
5,500,7,roc_auc,hand_till,0.7207596008892635,5,0.01140766747333816,Preprocessor1_Model445
4,357,5,roc_auc,hand_till,0.7207360141254983,5,0.011991065646417394,Preprocessor1_Model300
8,500,5,roc_auc,hand_till,0.720716243838466,5,0.011066761922435314,Preprocessor1_Model320
8,357,1,roc_auc,hand_till,0.7205570051714894,5,0.009999916146169553,Preprocessor1_Model048
3,357,7,roc_auc,hand_till,0.7204676664017934,5,0.01177677674721417,Preprocessor1_Model427
8,500,8,roc_auc,hand_till,0.7203520949215393,5,0.01138903270081396,Preprocessor1_Model512
3,500,7,roc_auc,hand_till,0.7203334933071044,5,0.011074158072032271,Preprocessor1_Model443
6,143,1,roc_auc,hand_till,0.7203081497591914,5,0.008157142998500866,Preprocessor1_Model022
5,214,3,roc_auc,hand_till,0.7202782338160809,5,0.009931426200511531,Preprocessor1_Model157
2,357,3,roc_auc,hand_till,0.7202591473745243,5,0.012734145716488628,Preprocessor1_Model170
4,214,6,roc_auc,hand_till,0.720245063343476,5,0.01134553551640258,Preprocessor1_Model348
7,428,1,roc_auc,hand_till,0.7201731395882189,5,0.011650336405898323,Preprocessor1_Model055
7,500,8,roc_auc,hand_till,0.7201637422395358,5,0.010025209900014822,Preprocessor1_Model511
8,357,4,roc_auc,hand_till,0.7201624169444606,5,0.008222105761374329,Preprocessor1_Model240
6,214,4,roc_auc,hand_till,0.7200358524155152,5,0.009741805179422375,Preprocessor1_Model222
6,214,6,roc_auc,hand_till,0.7200318957901299,5,0.013202062802244589,Preprocessor1_Model350
5,500,5,roc_auc,hand_till,0.720010736856471,5,0.010262871151257597,Preprocessor1_Model317
4,428,2,roc_auc,hand_till,0.7200008233884722,5,0.01186522439690074,Preprocessor1_Model116
5,214,7,roc_auc,hand_till,0.7199813599062608,5,0.013605720076241048,Preprocessor1_Model413
8,357,8,roc_auc,hand_till,0.7199263103555762,5,0.010456901953164134,Preprocessor1_Model496
